Time,X,Y
18441.39999999851,547,149
18458.599999999627,487,231
18475,487,231
18491.89999999851,482,229
18508.099999999627,482,229
18525.299999998882,478,227
18541.39999999851,478,227
18558.5,471,225
18574.599999999627,471,225
18592,467,223
18607.89999999851,467,223
18625.299999998882,467,223
18641.39999999851,467,223
18658.799999998882,458,221
18674.799999998882,458,221
18692,453,221
18708,453,221
18725.199999999255,449,221
18741.5,449,221
18758.699999999255,446,220
18774.699999999255,446,220
18792,444,219
18808.299999998882,444,219
18827.199999999255,442,219
18841.299999998882,442,219
18858.699999999255,443,221
18874.699999999255,443,221
18891.699999999255,443,225
18908.099999999627,443,225
18925.199999999255,439,224
18941.199999999255,439,224
18958.5,438,227
18974.699999999255,438,227
18991.89999999851,437,228
19007.89999999851,437,228
19025.199999999255,438,229
19041.39999999851,438,229
19058.599999999627,438,231
19074.699999999255,438,231
19091.199999999255,438,233
19108,438,233
19125.199999999255,435,235
19141.39999999851,435,235
19158.599999999627,432,237
19174.699999999255,432,237
19192,428,238
19208.099999999627,428,238
19225.299999998882,428,243
19241.39999999851,428,243
19258.599999999627,417,239
19274.799999998882,417,239
19292,412,237
19308.099999999627,412,237
19325.299999998882,406,235
19340.89999999851,406,235
19358.599999999627,400,233
19374.39999999851,400,233
19392,393,229
19407.799999998882,393,229
19425.199999999255,388,227
19440.5,388,227
19458.699999999255,383,223
19473.89999999851,383,223
19491.39999999851,377,222
19508.199999999255,377,222
19524.799999998882,372,221
19540.5,372,221
19557.89999999851,368,220
19574,368,220
19592.099999999627,364,223
19608.199999999255,364,223
19625.199999999255,357,223
19641.39999999851,357,223
19658.799999998882,356,223
19674.699999999255,356,223
19692,356,221
19708,356,221
19725.199999999255,356,220
19742.099999999627,356,220
19758.699999999255,358,221
19774.699999999255,358,221
19792,360,223
19807,360,223
19824.39999999851,359,223
19840.599999999627,359,223
19858.799999998882,355,222
19874.699999999255,355,222
19891.799999998882,354,225
19907.39999999851,354,225
19925.299999998882,353,221
19941.39999999851,353,221
19958.699999999255,354,221
19974.799999998882,354,221
19992,358,218
20008,358,218
20025.299999998882,362,215
20041.5,362,215
20058.5,364,216
20074.799999998882,364,216
20091.199999999255,368,217
20108.099999999627,368,217
20125.299999998882,372,220
20141.299999998882,372,220
20158.699999999255,376,225
20174.799999998882,376,225
20191.39999999851,381,231
20208.099999999627,381,231
20224.5,389,237
20241.299999998882,389,237
20258.699999999255,393,242
20274.799999998882,393,242
20291.299999998882,398,247
20308.199999999255,398,247
20324.699999999255,403,257
20341.5,403,257
20357.799999998882,410,255
20373.89999999851,410,255
20391.5,420,263
20407.099999999627,420,263
20425.199999999255,422,264
20441.5,422,264
20458.799999998882,424,257
20474.799999998882,424,257
20492.099999999627,428,258
20508.099999999627,428,258
20525.39999999851,424,255
20541.39999999851,424,255
20558.699999999255,426,253
20573.89999999851,426,253
20592,427,252
20607.299999998882,427,252
20625.39999999851,427,251
20641,427,251
20659.299999998882,429,251
20674.5,429,251
20825.39999999851,423,262
20841.39999999851,423,262
20858.199999999255,426,261
20874.89999999851,426,261
20892,423,240
20908.099999999627,423,240
20925.299999998882,427,185
20940.39999999851,427,185
20958.599999999627,433,152
20974.699999999255,433,152
20992.099999999627,450,121
21008,450,121
21025.5,470,100
21040.699999999255,470,100
21058,473,95
21073.89999999851,473,95
21092.099999999627,463,109
21107.099999999627,463,109
21125.299999998882,448,138
21141.39999999851,448,138
21158.699999999255,443,160
21174.599999999627,443,160
21191,442,175
21207.799999998882,442,175
21225.099999999627,448,178
21240.599999999627,448,178
21258,451,176
21274.699999999255,451,176
21291.89999999851,454,173
21307.099999999627,454,173
21325.299999998882,460,181
21340.599999999627,460,181
21358.799999998882,454,178
21373.89999999851,454,178
21392.299999998882,454,183
21408,454,183
21424.799999998882,456,183
21440.5,456,183
21457.799999998882,462,182
21473.89999999851,462,182
21491.89999999851,465,166
21508.099999999627,465,166
21524.599999999627,465,140
21541.5,465,140
21558.799999998882,497,90
21576.199999999255,497,90
21591.799999998882,499,79
21607.699999999255,499,79
21624.199999999255,508,80
21641.299999998882,508,80
21658.699999999255,492,99
21674.39999999851,492,99
21691,494,128
21707.89999999851,494,128
21725.099999999627,505,121
21741.5,505,121
21758.799999998882,502,123
21774.599999999627,502,123
21791,512,113
21807.5,512,113
21825.299999998882,527,89
21841.39999999851,527,89
21858.799999998882,533,77
21874.699999999255,533,77
21891.099999999627,541,83
21907.89999999851,541,83
21925.599999999627,523,107
21941.39999999851,523,107
21958.699999999255,499,126
21974.39999999851,499,126
21991.199999999255,508,175
22007.199999999255,508,175
22024.5,521,180
22040.5,521,180
22057.799999998882,522,167
22073.699999999255,522,167
22091.099999999627,528,121
22107.199999999255,528,121
22123.699999999255,539,102
22140.5,539,102
22157.099999999627,550,81
22173.699999999255,550,81
22190.699999999255,551,78
22207.199999999255,551,78
22224.5,542,95
22239.699999999255,542,95
22257.099999999627,519,128
22274,519,128
22290.299999998882,513,166
22308,513,166
22325.799999998882,516,193
22340.89999999851,516,193
22359,516,209
22374.39999999851,516,209
22392,532,190
22407.89999999851,532,190
22425.39999999851,537,186
22441.39999999851,537,186
22457.799999998882,539,188
22474.699999999255,539,188
22492.5,534,191
22508,534,191
22524.89999999851,528,198
22540.199999999255,528,198
22558,519,203
22574.199999999255,519,203
22591,512,205
22608.099999999627,512,205
22625.39999999851,503,203
22641.39999999851,503,203
22658.699999999255,498,204
22673.89999999851,498,204
22692,492,202
22707,492,202
22725.299999998882,485,203
22740.299999998882,485,203
22758.5,460,209
22773.89999999851,460,209
22791.89999999851,451,211
22807,451,211
22824.799999998882,454,211
22840.299999998882,454,211
22858.599999999627,435,219
22874.699999999255,435,219
22891.199999999255,429,225
22908.099999999627,429,225
22925.299999998882,424,231
22940.599999999627,424,231
22958.699999999255,418,239
22973.799999998882,418,239
22991.799999998882,427,239
23007.89999999851,427,239
23025.199999999255,407,249
23041.5,407,249
23057.799999998882,399,257
23074.799999998882,399,257
23092.099999999627,402,257
23107.099999999627,402,257
23124.5,371,273
23141.599999999627,371,273
23157.89999999851,368,270
23174.799999998882,368,270
23191.89999999851,341,275
23207.89999999851,341,275
23225.299999998882,339,269
23240.599999999627,339,269
23257.89999999851,321,266
23274.599999999627,321,266
23292,318,261
23308,318,261
23324.799999998882,314,262
23341.39999999851,314,262
23358.199999999255,309,259
23373.89999999851,309,259
23392.199999999255,308,260
23409.39999999851,308,260
23424.799999998882,307,261
23441.199999999255,307,261
23458.5,312,269
23473.699999999255,312,269
23490.89999999851,308,265
